0.000120512,967,360,0.125,348120
0.000206368,858,605,0.00195312,519090
6.25E-05,557,187,0.03125,104159
0.000308224,715,988,1.91E-06,706420
4.31E-05,248,91,6.10E-05,22568
0.000211872,159,928,0.000488281,147552
0.000202688,681,619,3.05E-05,421539
0.0001392,616,494,0.25,304304
0.000136832,64,625,0.015625,40000
7.99E-05,240,253,6.10E-05,60720
7.24E-05,861,151,0.5,130011
0.00026512,820,853,0.015625,699460
0.000282944,904,943,0.0625,852472
5.35E-05,433,108,0.000976562,46764
6.28E-05,486,118,0.5,57348
4.68E-05,683,24,1,16392
4.55E-05,286,84,0.0625,24024
0.000109312,428,433,3.05E-05,185324
8.41E-05,292,300,0.00195312,87600
2.26E-05,691,2,0.00195312,1382
0.000298912,641,987,1.53E-05,632667
8.90E-05,806,315,0.000488281,253890
0.000121504,662,382,0.00012207,252884
0.000242784,267,968,1,258456
9.13E-05,725,227,7.63E-06,164575
7.25E-05,671,152,0.00195312,101992
6.51E-05,889,167,0.000244141,148463
0.000122496,919,384,1,352896
3.49E-05,594,39,0.0078125,23166
5.16E-05,69,141,0.0625,9729
4.72E-05,794,96,0.000244141,76224
6.57E-05,244,207,0.00195312,50508
9.82E-05,958,350,0.015625,335300
9.00E-05,779,308,7.63E-06,239932
8.35E-05,46,291,0.00390625,13386
0.000101216,887,359,0.5,318433
4.39E-05,609,57,0.00195312,34713
0.000163392,99,685,0.000244141,67815
3.62E-05,614,51,0.000488281,31314
0.000119584,522,461,0.5,240642
0.000230496,471,847,3.05E-05,398937
0.000432608,441,1017,0.015625,448497
5.24E-05,957,150,0.00012207,143550
0.000187296,436,733,0.5,319588
8.27E-05,867,173,0.0625,149991
0.000135872,726,422,1,306372
6.11E-05,740,179,6.10E-05,132460
6.19E-05,897,180,0.03125,161460
0.00011952,583,470,0.0625,274010
6.29E-05,164,166,0.00195312,27224
3.17E-05,50,15,0.125,750
5.65E-05,420,149,0.00390625,62580
0.000113504,232,442,1,102544
5.77E-05,365,151,0.125,55115
0.000182784,927,521,0.25,482967
6.07E-05,188,199,0.5,37412
0.00023568,912,795,0.0625,725040
6.55E-05,747,205,6.10E-05,153135
0.0001208,497,471,0.125,234087
0.000237856,83,1019,0.0078125,84577
0.0001008,908,287,0.000488281,260596
6.31E-05,852,88,0.0625,74976
7.15E-05,452,137,0.015625,61924
0.000220032,940,701,0.000488281,658940
0.000236832,924,739,1.91E-06,682836
0.000303488,1017,981,7.63E-06,997677
0.000154752,46,647,0.0625,29762
7.40E-05,474,146,1,69204
0.000259136,682,821,0.0625,559922
0.000212864,897,656,0.25,588432
0.000215296,402,847,1,340494
0.000274048,1010,907,1.53E-05,916070
8.58E-05,333,200,1.53E-05,66600
8.74E-05,674,205,6.10E-05,138170
0.000108416,310,399,0.25,123690
3.72E-05,650,74,1,48100
4.43E-05,8,101,0.0078125,808
0.000172288,366,674,0.000976562,246684
7.31E-05,968,253,0.00012207,244904
0.000208416,865,630,1.91E-06,544950
0.000218944,302,843,0.000976562,254586
3.29E-05,897,18,0.125,16146
2.43E-05,546,6,0.015625,3276
0.00020944,78,825,0.00012207,64350
0.000247968,539,801,1.53E-05,431739
0.000107008,213,395,1.53E-05,84135
9.49E-05,527,343,0.5,180761
0.000288832,612,997,1.53E-05,610164
0.000264064,755,868,0.03125,655340
0.00010736,612,396,1.53E-05,242352
0.000156704,966,510,0.00012207,492660
0.000253536,838,844,0.5,707272
0.000230464,297,1018,0.03125,302346
0.000166816,863,482,3.05E-05,415966
0.000194592,306,838,0.25,256428
0.000193984,190,835,1.53E-05,158650
4.17E-05,113,75,0.5,8475
0.000118144,861,433,0.00390625,372813
0.00028752,691,942,0.000244141,650922
0.00021984,320,976,0.00012207,312320
0.00028432,704,1013,1.91E-06,713152
0.00010928,730,404,0.125,294920
0.000108704,249,423,0.125,105327
0.000211072,744,713,0.25,530472
0.000138336,586,466,0.015625,273076
3.62E-05,486,19,0.00390625,9234
0.000282624,954,923,0.0078125,880542
0.000235648,758,751,0.03125,569258
0.000119712,169,450,0.000244141,76050
6.12E-05,252,188,0.000976562,47376
0.00026752,800,989,7.63E-06,791200
7.16E-05,730,214,0.00195312,156220
0.000207552,300,867,0.00012207,260100
0.000118304,382,429,3.05E-05,163878
0.000161632,871,526,3.81E-06,458146
0.000185952,115,817,0.00390625,93955
0.000106272,541,290,0.015625,156890
0.000308768,694,983,0.000244141,682202
0.000127232,119,427,1,50813
0.000191456,354,760,0.000244141,269040
0.000127392,467,475,0.0625,221825
0.000173888,22,792,0.125,17424
4.30E-05,991,88,6.10E-05,87208
