0.001201,424,754,218,7.63E-06,0.0625,1,69693728
0.00223,382,9,865,0.00195312,0.00195312,2,2973870
0.02805,118,948,392,0.000244141,1,3,43850688
0.014459,695,730,687,0.00390625,0.125,1,348549450
0.002077,291,344,642,0.000244141,0.015625,2,64266768
0.114647,820,248,665,0.25,0.25,2,135234400
0.002324,764,886,562,0.000244141,0.0078125,4,380420048
0.000273,861,750,62,1.91E-06,0.0078125,4,40036500
0.003943,270,152,278,0.00195312,1,4,11409120
0.020985,44,344,969,0.00390625,1,1,14666784
0.001408,761,280,249,3.05E-05,6.10E-05,1,53056920
0.061971,501,646,721,0.125,0.125,3,233348766
0.016376,238,496,621,0.0078125,0.5,3,73307808
0.006753,874,79,1021,0.000244141,0.00390625,1,70495966
4.00E-05,625,894,11,0.00195312,0.00195312,4,6146250
0.002876,379,365,365,0.25,0.0078125,4,50492275
0.001166,100,90,604,0.015625,0.125,1,5436000
0.000292,341,15,177,0.03125,0.00195312,1,905355
0.000386,71,60,1023,0.000244141,3.05E-05,4,4357980
1.50E-05,691,829,4,0.000976562,0.00390625,4,2291356
0.000105,68,968,284,0.00390625,1.53E-05,4,18694016
0.000175,108,468,315,0.03125,1.53E-05,4,15921360
0.005182,841,832,945,0.00195312,3.81E-06,3,661227840
0.002008,571,423,510,0.000244141,0.000244141,3,123181830
0.002506,895,819,582,0.00012207,1.53E-05,4,426608910
0.011077,15,712,301,0.25,0.5,3,3214680
0.000201,96,383,384,0.00012207,0.000976562,4,14118912
0.000477,90,306,1017,0.00012207,3.05E-05,2,28008180
0.000539,424,156,263,0.00012207,0.00195312,2,17395872
0.002109,402,22,756,0.015625,6.10E-05,4,6686064
0.00056,114,680,781,3.05E-05,3.81E-06,4,60543120
0.003747,686,342,830,3.05E-05,7.63E-06,4,194727960
0.000964,607,430,298,0.000976562,0.000488281,3,77780980
0.002732,742,214,747,0.0625,3.05E-05,3,118614636
0.000507,50,328,652,0.5,0.00390625,4,10692800
0.008077,260,138,682,0.000976562,1,3,24470160
0.001584,575,326,478,3.05E-05,0.00390625,1,89601100
0.001092,467,351,487,0.03125,1.53E-05,3,79827579
